Book ID,Original Title,Original_Title_VIAF-URI,Original_Title_Wikidata-URI,Instance of Work,Instance_of_Work_Wikidata,Author,Author_VIAF_URI,Author_Wikidata_URI,Background of Indigenous Author,Source Background for Indigenous Author,FirstNation_band_Author_Wikidata_URI,IndigenousGroup_Indigenous_Author_Wikidata_URI,Ethnic_Group_Indigenous_Author_Wikidata_URI,Ethnic_Group_non-Indigenous_Author,Ethnic_Group_non-Indigenous_Author_Wikidata_URI,Source Background for non-Indigenous Author,Contributor,Contributor_VIAF_URI,Contributor_Wikidata_URI,Publisher,Publisher_VIAF_URI,Publisher_Wikidata_URI,Year Published,Subject Heading,Xwi7xwa Classification System,Language,ISBN-13
Book001,The Medicine of Peace Indigenous Youth Decolonizing Healing and Resisting Violence,,,,,"Ansloos, Jeffrey Paul","Ansloos, Jeffrey Paul",,Fisher River Cree Nation,"Cree and citizen of Fisher River Cree Nation (Ochekwi-Sipi; Treaty 5 per University of Toronto bio, discover.research.utoronto.ca/24795-jeffrey-ansloos",Fisher River Cree Nation,,,,,,,,,Fernwood Publishing,,Fernwood Publishing,2017,"History - Canada; Health; Development, Law, Governance; Rights & Title",CA-CG; S; F-K; M,en,9781552669563
,,,,,,,,,English Canadians,"English Canadian per University of Toronto bio, discover.research.utoronto.ca/24795-jeffrey-ansloos",,,English Canada,,,,,,,,,,,,,,
Book002,Strong helpers' teachings: The value of Indigenous knowledges in the helping professions,,,,,"Baskin, Cyndy","Baskin, Cyndy, 1957-",,Mi'kmaq,"Mi'kmaq per bio on Festival of Authors, festivalofauthors.ca/book-author/cyndy-baskin. Aka - Mi’kmaw (Q495751) First Nations people of the Northeastern Woodlands Mi'kmaq people, Micmacs, Mi'kmaq, L'nu wikidata.org/wiki/Q495751",,,Mi’kmaw,,,,,,,Canadian Scholars' Press.,Canadian Scholars' Press.,,2016,"Health; Development, Law, Governance; Rights & Title; History - Canada ",S; F-K; M; CA-CG ,en,9781773383309
,,,,,,,,,Celtic Ancestry,"Celtic descent per festivalofauthors.ca/book-author/cyndy-baskin). Wikidata included Celtic Britons (60), Irish people (50), Bretons (50). As none of those options were clearly related it has been left as a literal. ",,,,,,,,,,,,,,,,,
Book003,Sacred Ecology: Traditional Ecological Knowledge and Resource Management,,,,,"Berkes, Fikret","Berkes, Fikret.",,,,,,,Turkish Canadians,Turkish Canadians,Per DBPedia page - dbc:Canadian_ecologists and dbc:Turkish_emigrants_to_Canada.,,,,Routledge Taylor & Francis Group,,Routledge,2012,Environment,N,en,9781560326953
Book004,As We Have Always Done Indigenous Freedom through Radical Resistance,,As We Have Always Done: Indigenous Freedom Through Radical Resistance,,,"Betasamosake Simpson, Leanne","Betasamosake-Simpson, Leanne",,Michi Saagiig Nishnaabeg,"Michi Saagiig Nishnaabeg per author's website (leannesimpson.ca). Per wikidata entry, ""subtribe of the First Nations people in southern Ontario, Canada
Michi Saagiig, Michi Saagiig Anishinaabe, Michi Saagiig Nishnaabeg ",,,Mississaugas,,,,,,,University of Minnesota Press,,University of Minnesota Press,2020,"Rights & Title; Development, Law, Governance; History - Canada;",M; F-K; CA-CG,en,9781517903879
,,,,,,,,,Alderville First Nation,Member of Alderville First Nation (per leannesimpson.ca),Alderville First Nation,,,,,,,,,,,,,,,,
Book005,"Revered Roots: Ancestral Teachings and Wisdom of Wild, Edible, and Medicinal Plants",,,,,"Bird, LoriAnn","Bird, LoriAnn",,Refugee of the Red River Métis Nation,Refugee of the Red River Métis Nation (per loriannbird.ca). Left as literal due to option was not available on Wikidata.,,,,,,,,,,Cool Springs Press,Cool Springs Press,,2025,Ethnobotany; History - North America,SN; CU-CX,en,9780760393253
Book006,We Survived the Night,,,,,"Brave NoiseCat, Julian ","NoiseCat, Julian Brave",,Lil'wat First Nation,Descendant of the Lil'Wat Nation of Mount Currie (per julianbravenoisecat.com),Lil'wat First Nation,,,,,,,,,Knopf,,Knopf,2025,Arts; Worldview; Knowledge Keeping; History - North America; ,W; Y; T; CU-CX,en,9780593320785
,,,,,,,,,Tsq'escen' First Nation,Member of the Canim Lake Band Tsq'escen (per julianbravenoisecat.com),Tsq'escen' First Nation,,,,,,,,,,,,,,,,
Book007,Indigenizing Philosophy through the Land: A Trickster Methodology for Decolonizing Environmental Ethics and Indigenous Futures,,,,,"Burkhart, Brian","Burkhart, Brian.",,Cherokee Nation,Cherokee Nation of Oklahoma citizen (per inhabitingtheanthropocene.com),,Cherokee Nation,,,,,,,,Michigan State University Press,,Michigan State University Press,2019,Knowledge Keeping; Environment; History - North America,P; N; CU-CX,en,9781611863307
Book008,First Light: Kanaka Oiwi Resistance to Settler Science at Mauna a Wakea,,,,,"Casumbal-Salazar, Iokepa",,Iokepa Casumbal-Salazar,Kanaka Maoli,Mixed-race Kanaka Maoli. Mother is white and from Hawaiʻi (per campusdirectory.ucsc.edu/cd_detail?uid=jsalaz27),,,Native Hawaiians,,,,,,,University of Minnesota Press,,University of Minnesota Press,2025,Science; History - North America,E; CA-CX,en,9781452974279
,,,,,,,,,Mexican Americans,Father is mixed-race; his father's parents from Mexico (per campusdirectory.ucsc.edu/cd_detail?uid=jsalaz27),,,Mexican Americans,,,,,,,,,,,,,,
Book009,"Patriagonia: Catabatica, Adiabatica, Anabatica ",,,,,"Conuecar, Ivonne ","Coñuecar, Ivonne, 1980-",,Mapuche,Mapuche people of Chile (per wikiwand.com/en/Ivonne_Co%C3%B1uecar),,,Mapuche,,,,,,,Jabali Editoras,,,2008,Arts; Literature; Worldview; Women,W; Y; T; PW,es,9789560005649
Book010,The Red Road to Wellbriety: In the Native American Way,,,,,"Coyhis, Don",,Don Coyhis,Mohican,Member of the Mohican Nation (per albertafamilywellness.org/faculty-members/don-coyhis),,,Mahican,,,,,,,"White Bison, Inc.","White Bison, Inc.",,2006,Health; History - North America,S; CU-CX,en,9780971990401
Book011,Lakota Woman,,Lakota Woman,,,"Brave Bird, Mary",,Mary Brave Bird,Sicangu Lakota,Sicangu Lakota (per alchetron.com/Mary-Brave-Bird),,Sicangu,Sicangu,,,,,,,Harper Perennial,,Harper Perennial,1990,History - North America; Arts; Literature; Worldview; Knowledge Keeping; Women; Elders,CU-CX; W; Y; T; P; PW; PE,en,9780802145420
,,,,,,,,,Rosebud Sioux Tribe,"Citizen of Rosebud Sioux Tribe. Known as Mary Brave Bird and Mary Crow Dog,  (per alchetron.com/Mary-Brave-Bird)",,Rosebud Sioux Tribe,Rosebud Sioux Tribe,,,,,,,,,,,,,,
Book012,"Clearing the Plains: Disease, Politics of Starvation, and the Loss of Indigenous Life",,,,,"Daschuk, James W.","Daschuk, James W. (James William), 1961-",,,,,,,Canadians,Canadians,Bio per cbc.ca/books/clearing-the-plains-by-james-daschuk-1.6863578,,,,University of Regina Press,,University of Regina Press,2019,"History - North America; History - Canada; Health; Development, Law, Governance; Rights & Title",CU-CX; CA-CG; F-K; M,en,9780889776227
Book013,God is Red: A Native View of Religion,,God Is Red,,,"Deloria, Jr., Vine","Deloria, Vine, Jr",,Standing Rock Sioux Tribe,Member of Standing Rock Sioux (per ebsco.com/research-starters/biography/vine-deloria-jr),,Standing Rock Sioux Tribe,,,,,,,,Fulcrum Publishing,,Fulcrum Publishing,2003,History - North America; Arts; Literature; Worldview; Knowledge Keeping; Elders,CU-CX; W; Y; T; P; PE,en,9781555919047
Book014,When My Brother Was an Aztec,,,,,"Diaz, Natalie",,Natalie Diaz,Pipa Aha Macav,"Born in the Fort Mojave Indian Village in Needles, Ca. She is Mojave community.poetryfoundation.org/poets/natalie-diaz. Per source, ""Mojave Indians are Pipa Aha Macav — “The People By The River.” Mojave culture traces the earthly origins of its people to Spirit Mountain, the highest peak in the Newberry Mountains, located northwest of the present reservation inside the Lake Mead National Recreation Area"". (fortmojaveindiantribe.com/about-us)",,Pipa Aha Macav,,,,,,,,Copper Canyon Press,,Copper Canyon Press,2012,"Knowledge Keeping; Worldview; Arts, Literature",P; T; W; Y,en,9781556593833
,,,,,,,,,Gila River Indian Community,Enrolled member of the Gila River Indian Member of the Gila River Indian (per community.poetryfoundation.org/poets/natalie-diaz),,Gila River Indian Community,,,,,,,,,,,,,,,
Book015,Mandu'a ne'e poty ,,,Memorias poeticas,,"Duarte Portillo, Alba Eiragi ","Duarte Portillo, Alba Eiragi",,Ava guaraníes,"Ava guaraníes, maternal side (per imsouthamerican.com/wr/alba-eiragui-duarteper) ",,,Ava guaraníes,,,,,,,Arandurã Editoria,,,2024,Literature; Arts; Languages; Guaraní peoples; Paraguay,W; Y; X,nhd,9789998966192
,,,,,,,,,Aché people,"Aché, paternal side (per imsouthamerican.com/wr/alba-eiragui-duarteper) ",,,Aché people,,,,,,,,,,,,,es,
Book016,Healing the soul wound: Counseling with American Indians and other Native people. Second Edition,,,,,"Durán, Eduardo 1949-","Durán, Eduardo 1949-....",,Apache,Apache (per zmm.org/podcast/decolonizing-awakening-on-turtle-mountain-interview-with-ed-duran),,,Apache,,,,,,,Teachers College Press,,Teachers College Press,2019,Health; History - North America,S; CA-CX,en,9780807763155
,,,,,,,,,Tewa,Tewa (per zmm.org/podcast/decolonizing-awakening-on-turtle-mountain-interview-with-ed-duran),,,Tewa people,,,,,,,,,,,,,,
,,,,,,,,,Lakota,Lakota (per zmm.org/podcast/decolonizing-awakening-on-turtle-mountain-interview-with-ed-duran),,,Lakota people,,,,,,,,,,,,,,
Book017,"You Are the Medicine: 13 Moons of Indigenous Wisdom, Ancestral Connection and Animal Spirit Guidance",,,,,"Frost, Asha","Frost, Asha",,Neyaashiinigmiig,"Literal is employed to ensure alignment with the author's self-identification and preserve their indigeneity per the biographical record. This approach is utilized over external identifiers (e.g., Wikidata URIs) because available URIs do not accurately reflect the specific identity documented in the source. Holds membership at Neyaashiinigmiig (Cape Croker) First Nation speakerscanada.com/keynote-speaker/asha-frost. Per source, ""Cape Croker Indian Reserve... was officially named “Neyaashiinigmiing” on January 21, 1992. It means “point of land surrounded on three side by water.” nawash.ca/about-chippewas-of-nawash. Per source ""Chippewas of Nawash Unceded First Nation (Ojibwe: Neyaashiinigmiing Anishinaabek) is an Anishinaabek First Nation from the Bruce Peninsula region in Ontario, Canada. Along with the Saugeen First Nation, they form the Saugeen Ojibway Nation. The Chippewas of Nawash Unceded First Nation currently has a registered membership of 2758 individuals, as of December, 2020. Approximately 700 members live on the main reserve, Neyaashiinigmiing 27 (formerly known as Cape Croker). The First Nation has 3 reserves, Neyaashiinigmiing 27, Cape Croker Hunting Ground 60B and Saugeen and Cape Croker Fishing Islands 1. The size of all reserves is 8083.70 hectares (31.21 sq. mi.)"" whose.land/en/communities/chippewas-of-nawash-unceded-first-nation.",,,,,,,,,,Hay House,,Hay House,2022,Health; Worldview,S; T,en,9781401963507
,,,,,,,,,Ajijaak Dodem,"Literal is employed to ensure alignment with the author's self-identification and preserve their indigeneity per the biographical record. This approach is utilized over external identifiers (e.g., Wikidata URIs) because available URIs do not accurately reflect the specific identity documented in the source.

Raised on the traditional territories of the Anishinaabe, Huron-Wendat, and Haudenosaunee; heritage is deeply tied to the First Nations of Ontario, Canada (speakerscanada.com). Member of the Crane Clan (Ajijaak Dodem), one of the seven original clans representing (speakerscanada.com; saulttribe.com; thecanadianencyclopedia.ca).",,,,,,,,,,,,,,,,,
Book018,Medicine Unbundled a Journey Through the Minefields of Indigenous Health Care,,,,,"Geddes, Gary",,Gary Geddes,,,,,,Canadians,Canadians,Per bio on writersunion.ca/member/gary-geddes,,,,Canadian Heritage Publications,Canadian Heritage Publications,,2017,"History - Canada; Health; Development, Law, Governance; Rights & Title",CA-CG; S; F-K; M,en,9781772031645
Book019,Impressoes de leitura do texto literario ,,,,,"Grauna, Graca","Graúna, Graça",,Potiguara people,Potiguara of Brazil (per latinamericanliteraturetoday.org/lal_author/graca-grauna),,,Potiguara people,,,,,,,Companhia das Letras ,,Companhia das Letras,2016,Arts; Worldview; Knowledge Keeping; Education; Potiguara; Brazil,W; T; P; E,pt,9788543810218
,,,,,,,,,Tupí people,Tupí speaking tribe of Brazil (per latinamericanliteraturetoday.org/lal_author/graca-grauna) ,,,Tupí people,,,,,,,,,,,,,,
Book020,"Alfabeto mazateco: Variantes dialectales de San Pedro Ixcatlan, San Miguel Soyaltepec, Jalapa de Diaz y San Jose Independencia",,,,,"Gregorio Regino, Juan","Regino, Juan Gregorio, 1962-...",,Mazatec people,Mazatec (per jstor.org.libdata.lib.ua.edu/stable/4139050),,,Mazatec people,,,,,,,Instituto Oaxaqueño de las Culturas,Instituto Oaxaqueño de las Culturas,,1993,Languages (Mazatec); Worldview; Knowledge Keeping (Mazatec),X; T; P,es,9686951067
Book021,Medicine Wheel for the Planet: A Journey toward Personal and Ecological Healing,,,,,"Grenz, Jennifer","Grenz, Jennifer",,Nlaka'pamux,Nlaka‘pamux woman of mixed ancestry (per forestry.ubc.ca/faculty-profile/jennifer-grenz),,,Nlaka'pamux,,,,,,,University of Minnesota Press,,University of Minnesota Press,2024,Interior Salish; Nlaka'pamux (Thompson); History - Canada,BK; BKN; CA-CG,en,9781517916466
,,,,,,,,,Lytton First Nation,Family comes from the Lytton First Nation (she grew up on the coast of BC) (per forestry.ubc.ca/faculty-profile/jennifer-grenz),Lytton First Nation,,,,,,,,,,,,,,,,
Book022,Poet Warrior,,,,,"Harjo, Joy ","Harjo, Joy",,Mvskoke Nation,"Citizen of the Mvskoke Nation (per womenshistory.org/education-resources/biographies/joy-harjo). This entry utilizes the Muscogee [(Creek) Nation] Wikidata URI to provide linked data connectivity. The wd:URI includes the updated term ""Mvskoke,"" under the heading. The literal string is maintained to ensure alignment of Mvskoke Nation with the author’s indigeneity (per womenshistory.org).",,,Muscogee (Creek) Nation,,,,,,,W. W. Norton & Company American publishing company,,W. W. Norton & Company,2021,Arts; Literature; Worldview; Knowledge Keeping; Women,W; Y; T; P; PW,en,9781324022015
,,,,,,,,,Oce Vpofv,"Belongs to Oce Vpofv (Hickory Ground). This entry employs the Hickory Ground wd:URI for linked data connectivity. Although the Wikidata entry includes accurate phonetic updates (e.g., Otciapofa, Oce Vpofa), the specific term Oce Vpofv is maintained as a literal to preserve the precise orthography and indigeneity of the bio record where an exact URI match for Oce Vpofv is unavailable. Additionally, there are similar sub terms under the heading in the Hickory Ground wd entry (womenshistory.org/education-resources/biographies/joy-harjo).",,Hickory Ground,,,,,,,,,,,,,,,
,,,,,,,,,Monahwee,Seventh-generation Monahwee (per womenshistory.org/education-resources/biographies/joy-harjo),,,,,,,,,,,,,,,,,
