Book ID,Original Title,Original_Title_VIAF-URI,Original_Title_Wikidata-URI,Instance of Work,Instance_of_Work_Wikidata,Author,Author_VIAF_URI,Author_Wikidata_URI,Background of Indigenous Author,Source Background for Indigenous Author,FirstNation_band_Author_Wikidata_URI,IndigenousGroup_Indigenous_Author_Wikidata_URI,Ethnic_Group_Indigenous_Author_Wikidata_URI,Ethnic_Group_non-Indigenous_Author,Ethnic_Group_non-Indigenous_Author_Wikidata_URI,Source Background for non-Indigenous Author,Contributor,Contributor_VIAF_URI,Contributor_Wikidata_URI,Publisher,Publisher_VIAF_URI,Publisher_Wikidata_URI,Year Published,Subject Heading,Xwi7xwa Classification System,Language,ISBN-13
Book023,Growing Papaya Trees: Nurturing Indigenous Roots During Climate Displacement,,,,,"Hernandez, Jessica, 1990-","Hernandez, Jessica, 1990-",,Zapotec,"Binniza; Zapotec; Maya Ch'orti (per jessicabhernandez.com) This entry employs the Zapotec wd:URI (e.g., Q13317) to provide linked data connectivity for both ""Zapotec"" and the Spanish endonym Binnizá. The Wikidata entry includes a wide array of linguistic and phonetic variants (e.g., Be'ena'a, Ben 'Zaa, Didxazá, Za), the specific term Binnizá is maintained as a literal to ensure alignment with the author’s self-identification. This approach preserves the precise indigeneity of the biographical record where a exact URI match for the primary endonym is unavailable.",,,Zapotec,,,,,,,Michigan State University Press,,Michigan State University Press,2025,Knowledge Keeping; Indigenous Central American; Zapotec,P,en,9798889840978
,,,,,,,,,Chortis,Maya Ch'orti (per jessicabhernandez.com) This entry employs the Chortis wd:URI to provide linked data connectivity. The subheading Chʼortiʼ Maya is included in the wd:URI.,,,Chortis,,,,,,,,,,,,,,
Book024,O presente de Jaxy Jatere,,O presente de Jaxy Jaterê,,,"Jekupe, Olivio ","Jekupé, Olívio",,Tupi–Guarani peoples,Tupí-Ruaraní of Brazil (per elfikurten.com.br/2021/12/olivio-jekupe.html),,,Tupi–Guarani peoples,,,,"Junqueira, Fran","Junqueira, Fran",,"Panda books (Toronto, Ont.)",,,2017,Languages; Arts; Worldview; Knowledge Keeping; Women; Guarani,X; W; T; P; PW; YT-YUE,gun,9788578883614
,,,,,,,,,,,,,,,,,"Mirim, Wera Jeguaka","Mirim, Werá Jeguaka",,,,,,,,pt,
Book025,Held by the Land: a Guide to Indigenous Plants for Wellness,,,,,Leigh Joseph (Styawat),"Joseph, Leigh",,Skwxwú7mesh,Member of the Skwxwú7mesh (Squamish) First Nation leighjoseph.com/about,Squamish Nation,,,,,,,,,Quarto Group,,Quarto Group,2023,Ethnobotany; History - North America,SN; CU-CX,en,9781577152941
Book026,Bad Indians Book Club: Reading at the Edge of a Thousand Worlds,,,,,"Krawec, Patty","Krawec, Patty, 19..-....",,Anishinaabe,Anishinaabe/Ukrainian writer and speaker (per transatlanticagency.com/clients/speakers/patty-krawec). Was unable to find Ukrainian ancestry in wikidata. Was able to find 'Ukrainian'. See collision notes for 'Ukrainian'. ,,,Anishinaabe,,,,,,,Augsburg Fortress Publishers,,Augsburg Fortress Publishers,2025,Literature; Arts; History - North America,Y; W; CU-CX,en,9781773104614
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ukrainians,Ukrainian ancestry was not an option in Wikidata (Ukrainian was included per transatlanticagency.com/clients/speakers/patty-krawec).,,,Ukrainians,,,,,,,,,,,,,,
,,,,,,,,,Lac Seul First Nation,Belonging to Lac Seul First Nation in Treaty 3 territory and residing in Niagara Falls,Lac Seul First Nation,,,,,,,,,,,,,,,,
Book027,Ideias para adiar o fim do mundo ,"Krenak, Ailton,. | Ideias para adiar o fim do mundo",,Ideas to postpone the end of the world,Ideas to Postpone the End of the World,"Krenak, Ailton ","Krenak, Ailton, 1953-",,Krenak,Krenak (Crenaque) people of Brazil per companhiadasletras.com.br/livro/9788535933581/ideias-para-adiar-o-fim-do-mundo-nova-edicao,,,Crenaques,,,,"Doyle, Anthony ",,,Companhia das Letras ,,Companhia das Letras,2019,Worldview; Knowledge Keeping; Literature,T; P; Y,pt,9788554514204
,,,,,,,,,,,,,,,,,,,,,,,,,,en,
Book028,Watershed: Attending to Body and Earth in Distress,,,,,"Lenor Hanson, Ranae","Hanson, Ranae",,,,,,,Finnish Americans,Finnish Americans,Finnish Americans bio (per ranaehanson.com/ancestral-writing-and-response),,,,University of Minnesota Press,,University of Minnesota Press,2021,Environment; Worldview,N; T,en,9781517910976
Book029,Distorted Descent: White Claims to Indigenous Identity,,Distorted Descent: White Claims to Indigenous Identity,,,"Leroux, Darryl","Leroux, Darryl, 1978-....",,,,,,,French Canadians,French Canadians,French Canadian per uofmpress.ca/books/authors/darryl-leroux,,,,University of Minnesota Press,,University of Minnesota Press,2019,History - Canada; Rights & Title,CA-CG; M,en,9780887558979
Book030,Decolonizing Trauma Work: Indigenous Stories and Strategies,,,,,"Linklater, Renee","Linklater, Renee, 1969-",,Rainy River First Nations,Member of Rainy River First Nations in Northwestern Ontario fernwoodpublishing.ca/authors/view/renee-linklater,Rainy River First Nations,,,,,,,,,Fernwood Publishing,,Fernwood Publishing,2014,"Health; Development, Law, Governance; Rights & Title",S; F-K; M,en,9781773633848
Book031,The Seven Circles: Indigenous Teachings for Living Well,,,,,"Luger, Chelsey","Luger, Chelsey",,Turtle Mountain Band of Chippewa Indians,Enrolled citizen of Turtle Mountain Band of Chippewa (maternal) (per elenabrower.com/episode-217-chelsey-luger),,Turtle Mountain Band of Chippewa Indians,,,,,,,,HarperCollins,,HarperCollins,2022,History - North America; Health,CA-CX; S,en,9780063119208
,,,,,,,,,Lakota people,Lakota from Cheyenne River and Standing Rock (paternal) (per elenabrower.com/episode-217-chelsey-luger),,,Lakota people,,,,,,,,,,,,,,
,,,,,,,,,Cheyenne River Sioux people,From Cheyenne River (paternal) (per elenabrower.com/episode-217-chelsey-luger),,Cheyenne River Sioux Tribe,,,,,,,,,,,,,,,
,,,,,,,,,Standing Rock Sioux Tribe,From Standing Rock (paternal) (per elenabrower.com/episode-217-chelsey-luger),,Standing Rock Sioux Tribe,,,,,,,,,,,,,,,
Book032,Heart berries: A memoir,,Heart Berries,,,"Mailhot, Terese Marie","Mailhot, Terese Marie",,Nlaka'pamux,Member of the Nlaka'pamux (per thebcreview.ca/2019/09/18/617-escape-from-seabird-island),,,Nlaka'pamux,,,,,,,Counterpoint Press,,Counterpoint Press,2018,"Development, Law, Governance; Rights & Title; History - Canada; Nlaka'pamux; Interior Salish language",F-K; M; CA-CG; BKN; BK,en,9781640091603
,,,,,,,,,Interior Salish,"Member of the Nlaka'pamux, part of the First Nations people of the Interior Salish language group in southern British Columbia, Canada (per thebcreview.ca/2019/09/18/617-escape-from-seabird-island)",,,Interior Salish,,,,,,,,,,,,,,
Book033,Mankiller: A Chief and Her People: An Autobiography by the Principal Chief of the Cherokee Nation ,,,,,"Mankiller, Wilma","Mankiller, Wilma Pearl",,Cherokee Nation,Cherokee Nation (paternal) (per plainshumanities.unl.edu/encyclopedia/doc/egp.na.062.html),,Cherokee Nation,,,,,,,,St. Martin's Griffin,,St. Martin's Griffin,1993,"History - Canada; Worldview; Development, Law, Governance; Rights & Title; Women",CA-CG; T; F-K; M; PW,en,9780312206628
,,,,,,,,,Dutch Americans,Dutch (maternal) (per plainshumanities.unl.edu/encyclopedia/doc/egp.na.062.html),,,Dutch Americans,,,,,,,,,,,,,,
,,,,,,,,,Irish Americans,Irish (maternal) (per plainshumanities.unl.edu/encyclopedia/doc/egp.na.062.html),,,Irish Americans,,,,,,,,,,,,,,
,,,,,,,,,English Americans,English (maternal) (per plainshumanities.unl.edu/encyclopedia/doc/egp.na.062.html),,,English Americans,,,,,,,,,,,,,,
Book034,Me llamo Rigoberta Menchú y así me nació la conciencia,,Me llamo Rigoberta Menchú y así me nació la conciencia,"I, Rigoberta Menchu: An Indian Woman in Guatemala",,"Menchu Tum, Rigoberta ","Menchú, Rigoberta, 1959-",,Mayan k’iche',Mayan k’iche' )per nobelwomensinitiative.org/rigobertamenchutum),,,Kʼicheʼ,,,,"Burgos-Debray, Elisabeth",,Elizabeth Burgos,Verso Books,,Verso Books,2024,Arts; Literature; Worldview; Knowledge Keeping; Women,W; Y; T; P; PW,es,9781844674183
,,,,,,,,,,,,,,,,,"Wright, Ann ",,,,,,,,,,
Book035,"Legacy: Trauma, Story, and Indigenous Healing ",,,,,"Methot, Suzanne","Methot, Suzanne",,Nehiyaw (Cree) Nation,Nehiyaw (Cree) Nation (per strongnations.com/gs/show.php?gs=3&gsd=6356),,,Plains Cree,,,,,,,ECW Press,,ECW Press,2019,Health; Indigenous Contemporary Issues; History - Canada; Teen Books;  Depression and Anxiety,S; CA-CG,en,9781773052977
Book036,ex machina,,,,,"Naviyuk Kane, Joan  ","Kane, Joan Naviyuk",,Iñupiaq,"Iñupiaq member and grew up in Anchorage, Alaska, with family from King Island and Mary’s Igloo, AK per .poetryfoundation.org/poets/joan-kane",,,Iñupiaq people,,,,,,,Staircase Books,,,2023,Inuit; History - North America; Arts; Literature; Worldview; Knowledge Keeping; Women,DC; CU-CX; T; P; PW,en,9781960769008
Book037,Medicine River: A Story of Survival and the Legacy of Indian Boarding Schools,,,,,"Pember, Mary Annette ","Pember, Mary Annette",,Red Cliff Band of Wisconsin Ojibwe,Enrolled citizen of the Red Cliff Band of Wisconsin Ojibwe tribe per midwestclimatecollaborative.wustl.edu/people/mary-annette-pember,,Red Cliff Band of Lake Superior Chippewa,,,,,,,,Penguin Random House,,Penguin Random House,2025,Residential School; History - North America,ER; CU-CX,en,9798217066018
Book038,The Science of the Sacred: Bridging Global Indigenous Medicine Systems and Modern Scientific Principles,,,,,"Redvers, Nicole","Redvers, Nicole",,Deninu Kųę́ First Nation,Member of Deninu Kųę́ First Nation (Northwest Territories) per indigenous.uwo.ca/AboutUs/faculty/Nicole_Redvers.html,Deninu Kųę́ First Nation,,,,,,,,,North Atlantic Books,,North Atlantic Books,2019,History - Canada; Health,"CA-CG, S",en,9781623173371
Book039,The Knowledge Seeker: Embracing Indigenous Spirituality,,"The Knowledge Seeker: Embracing Indigenous Spirituality by Blair Stonechild. Regina, Canada: University of Regina Press, 2016. 244 pp. ISBN-10: 088977417X",,,"Stonechild, Blair","Stonechild, Blair",,Muscowpetung First Nation,Member of the Muscowpetung First Nation in Saskatchewan strongnations.com/gs/show.php?gs=3&gsd=3866,Muscowpetung First Nation,,,,,,,,,University of Regina Press,,University of Regina Press,2016,Worldview,T,en,9780889774186
Book040,Seven Arrows,,Religion: Seven Arrows. HYEMEYOHSTS STORM,,,"Storm, Hyemeyohsts","Storm, Hyemeyohsts.",,Northern Cheyenne Tribe in Montana,Northern Cheyenne Tribe in Montana per  ipl.org/div/natam/bin/browse.pl/A94,,Northern Cheyenne Tribe,,,,,,,,Ballantine Books,,Ballantine Books,1972,History - Canada; Worldview,CA-CG; T,en,9780060141349
Book041,Being Again of One Mind Oneida Women and the Struggle for Decolonization,,,,,"Sunseri, Lina","Sunseri, Lina",,Oneida Nation of the Thames,"Member of the Oneida Nation of the Thames, of the Turtle Clan and Italian ancestry (paternal) and lived in Italy for 10 years of her childhood per sociology.uwo.ca/people/profiles/Sunseri.html",Oneida Nation of the Thames,,,,,,,,,University of British Columbia Press,,University of British Columbia Press,2010,"Women; Rights & Title; Development, Law, Goverance; History - North America",PW; M; F-K; CU-CX,en,9780774819350
,,,,,,,,,Turtle Clan,Member of the Turtle Clan (per sociology.uwo.ca/people/profiles/Sunseri.html). Left as literal due to unclear representation in Wikidata.,,,,,,,,,,,,,,,,,
,,,,,,,,,Italian ancestry,Italian ancestry (paternal) and lived in Italy for 10 years of her childhood (per sociology.uwo.ca/people/profiles/Sunseri.html),,,Italians,,,,,,,,,,,,,,
Book042,All Our Relations,,All Our Relations: Native Struggles for Land and Life,,,"Talaga, Tanya","Talaga, Tanya.",,Anishinaabe,Anishinaabe (maternal); (per confederationcentre.com/wp-content/uploads/2023/08/Talaga-Tanya-Web-Bio.pdf),,,Anishinaabe,,,,,,,House of Anansi Press,,House of Anansi Press,2018,History - Canada; Health,CA-CG; S,en,9781608466290
,,,,,,,,,Polish Canadians,Polish-Canadian (paternal) (per confederationcentre.com/wp-content/uploads/2023/08/Talaga-Tanya-Web-Bio.pdf),,,Polish Canadians,,,,,,,,,,,,,,
,,,,,,,,,Fort William First Nation,"Member of Fort William First Nation, in the Robinson-Superior Treaty territory (per confederationcentre.com/wp-content/uploads/2023/08/Talaga-Tanya-Web-Bio.pdf)",Fort William First Nation,,,,,,,,,,,,,,,,
Book043,Father / Genocide,,,,,"Tamez, Margo","Tamez, Margo",,Lipan Apache Band of Texas,"Tribally enrolled Lipan Apache Band of Texas, an organization that does not have federal or state recognition, who are of the greater Dene Nation currently trifurcated by the Canada-US and US-Mexico settler borders per margotamez.com",Lipan Apache Band of Texas,,,,,,,,,Turtle Point Press,,Turtle Point Press,2021,Arts;  Worldview; Knowledge Keeping; Women,W; T; P; PW,en,9781933527048
Book044,Guendaguti nee Sisi,"Toledo, Natalia. | Guendaguti ñee sisi | Zapotec 2005",,La Muerte de Pies Ligeros,,"Toledo, Natalia ","Toledo, Natalia, 1967-....",,Zapotec,"Zapotec of Juchitan of Oaxaca, Mexico per calendar.umd.edu/visit-by-mexican-poet-natalia-toledo-2",,,Zapotec,,,,,,,Fondo de Cultura Económica,,Fondo de Cultura Económica,2006,Languages; Arts; Literature; Worldview; Knowledge Keeping,X; W; Y; T; P,zap,9789681676711
,,,,,,,,,,,,,,,,,,,,,,,,,,es,
Book045,Decolonizing Methodologies: Research and Indigenous Peoples,,Decolonizing Methodologies,,,"Tuhiwai Smith, Linda","Tuhiwai Smith, Linda",,Māori,Maori; Ngati Porou iwi (maternal); Ngati Awa iwi (paternal) and Tuhourangi iwi (tribe) per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html,,,Māori,,,,,,,Zed Books,,Zed Books,1999,"Maori; Education; Worldview; Development, Law, Governance; Rights & Title; ",DM; E; T; F-K; M,en,9781848139503
,,,,,,,,,Ngāti Porou ki Hauraki,Ngati Porou iwi (maternal) (per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html),,,Ngāti Porou ki Hauraki,,,,,,,,,,,,,,
,,,,,,,,,Ngāti Awa,Ngati Awa iwi (paternal)(per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html),,,Ngāti Awa,,,,,,,,,,,,,,
,,,,,,,,,Tūhourangi,Tuhourangi iwi (tribe) (per uwinnipeg.ca/awards-distinctions/honorary-doctorate/tuhiwai-smith.html),,,Tūhourangi,,,,,,,,,,,,,,
Book046,One Drum: Stories and Ceremonies for a Planet,,,,,"Wagamese, Richard","Wagamese, Richard",,Wabaseemoong Independent Nations,Wabaseemoong Independent Nations of the Ojibwe First Nation (per thecanadianencyclopedia.ca/en/article/richard-wagamese),Wabaseemoong Independent Nations,,,,,,,,,Douglas & McIntyre,,Douglas & McIntyre,2019,"Arts, Music, Dance; Health; Ojibwe peoples",W; S,en,9781771622295
Book047,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants","Kimmerer, Robin Wall. | Braiding sweetgrass. | Català",,,,"Wall Kimmerer, Robin ","Wall Kimmerer, Robin",,Citizen Potawatomi Nation,Enrolled citizen of the Citizen Potawatomi Nation (per robinwallkimmerer.com),,Citizen Potawatomi Nation,,,,,,,,Milkweed Editions,,Milkweed Editions,2015,Knowledge Keeping; Environment; Science; Worldview,P; N; E; T,en,9781571313560
Book048,The Right to Be Cold: One Woman's Fight to Protect the Arctic and Save the Planet from Climate Change,"Watt-Cloutier, Sheila,. | Right to be cold : one woman's fight to protect the arctic and save the planet from climate change",,,,"Watt-Cloutier, Sheila ","Watt-Cloutier, Sheila",,Inuit,Sheila Watt-Cloutier lived a traditional Inuit life until the age of 10 (per uwinnipeg.ca/awards-distinctions/honorary-doctorate/cloutier.html),,Inuit in Canada,,,,,,,,University of Minnesota Press,,University of Minnesota Press,2018,Environment; Inuit women; History - Canada,N; DC; PW; CA-CG ,en,9781517904975
Book049,"Who We Are Becoming Matters: The Courage, Wisdom, and Aloha We Need in a Timeplace of Collapse",,,,,"Wong, Norma","Wong, Norma",,Native Hawaiians,Native Hawaiian (per normawong.com/about),,,Native Hawaiians,,,,,,,North Atlantic Books,,North Atlantic Books,2026,Indigenous Hawaiian; Knowledge Keeping,P,en,9798889843214
,,,,,,,,,Hakka,Hakka (per normawong.com/about),,,Hakka people,,,,,,,,,,,,,,
Book050,Kurumi Guare no Coracao da Amazonia,,,,,"Yamã, Yaguarê","Yamã, Yaguarê",,Maraguás,Maraguá (maternal) (per museudapessoa.org/historia-de-vida/o-sater-escritor),,Maraguás,,,,,,,,Editora FTD,,Editora FTD,2007,Arts; Literature; Worldview; Knowledge Keeping; Women,W; Y; T; P; PW; YT-YUE,pt,9788532262189
,,,,,,,,,Satere-Mawé ,Satere-Mawé (paternal) (per museudapessoa.org/historia-de-vida/o-sater-escritor),,,Mawé people,,,,,,,,,,,,,,